job_id,starting_time,finish_time,allocated_resources
QJOB-0511-0205-07d9-94e13dd1e17e_0,864303,864372,982
QJOB-0511-0208-03d2-c6ab18fb8592_118,864481,864561,-1
QJOB-0511-0208-03d2-c6ab18fb8592_119,864481,864564,-1
QJOB-0511-0208-03d2-c6ab18fb8592_120,864481,864567,982
QJOB-0511-0208-03d2-c6ab18fb8592_117,864481,864573,-1
QJOB-0511-0209-b295-662985c4e21d_0,864664,864666,959
QJOB-0511-0211-26f6-3a4bc1586397_2,864670,864672,969
QJOB-0511-0211-26f6-3a4bc1586397_1,864670,864672,959
QJOB-0511-0224-2bf5-1530e2f127e4_0,865451,865604,-1
QJOB-0511-0259-2f37-50d2b10cc0a5_0,867676,867739,-1
QJOB-0511-0302-76fb-88c1531d29b0_115,867750,867832,-1
QJOB-0511-0302-76fb-88c1531d29b0_116,867750,867844,-1
QJOB-0511-0320-2d13-bade60a7bd75_120,868811,868896,982
QJOB-0511-0320-2d13-bade60a7bd75_118,868811,868894,-1
QJOB-0511-0320-2d13-bade60a7bd75_117,868811,868894,-1
QJOB-0511-0320-2d13-bade60a7bd75_119,868811,868906,-1
QJOB-0511-0321-db96-a57b8bdba787_2,869003,869004,959
QJOB-0511-0323-7b97-9502aecc3e91_1,869011,869014,959
QJOB-0511-0336-a92f-a3bee968355c_0,869803,869967,-1
QJOB-0511-0406-160e-73e2723e6256_1,871565,871633,-1
QJOB-0511-0410-5be3-3d75c39b6efd_0,871823,871893,-1
QJOB-0511-0411-b5c8-7c5b2237395c_115,871906,871984,-1
QJOB-0511-0411-b5c8-7c5b2237395c_120,871906,871994,982
QJOB-0511-0411-b5c8-7c5b2237395c_116,871906,872002,-1
QJOB-0512-0208-1ddd-1253a355ce5d_115,950887,950967,-1
QJOB-0512-0208-1ddd-1253a355ce5d_119,950888,950977,982
QJOB-0512-0208-1ddd-1253a355ce5d_120,950888,950980,959
QJOB-0512-0209-cfe4-12315471f437_2,951078,951080,969
QJOB-0512-0211-5ab2-583ec644f5cf_1,951083,951085,970
QJOB-0512-0211-5ab2-583ec644f5cf_0,951083,951085,969
QJOB-0512-0215-e1a4-c71901a80643_0,951427,951432,-1
QJOB-0512-0215-d734-66029bd27b88_0,951517,951520,-1
QJOB-0512-0218-d84a-0d7b8d472949_1,951617,951638,-1
QJOB-0512-0218-d84a-0d7b8d472949_0,951617,951639,-1
QJOB-0512-0218-d84a-0d7b8d472949_2,951617,951639,-1
QJOB-0512-0218-d84a-0d7b8d472949_3,951617,951639,-1
QJOB-0512-0228-3437-f9c5407e74a7_0,952292,952334,982
QJOB-0512-0228-2fc0-12cbe8c977f2_0,952292,952340,982
QJOB-0512-0228-31dd-8cce2f581070_0,952292,952343,982
QJOB-0512-0228-23fa-3c11825a5eff_0,952290,952343,982
QJOB-0512-0228-2d7b-427f672392db_0,952291,952343,982
QJOB-0512-0228-267e-5b28c2483990_0,952291,952346,982
QJOB-0512-0228-28b1-8162fab0028d_0,952291,952349,982
QJOB-0512-0228-2b1e-3308317fa280_0,952291,952349,982
QJOB-0512-0228-368d-89dec702f939_0,952333,952349,982
QJOB-0512-0228-38da-08ea54b1325e_0,952339,952352,982
QJOB-0512-0228-3b32-5099cce7d9cf_0,952341,952355,982
QJOB-0512-0228-4411-0e48fb27a337_0,952342,952355,982
QJOB-0512-0228-3de2-21e3b68fec5f_0,952342,952358,982
QJOB-0512-0228-465a-beaa0a2abacf_0,952344,952358,982
QJOB-0512-0228-4c5d-e9fe6a19e661_0,952348,952361,982
QJOB-0512-0228-4e47-b34709e4d385_0,952351,952364,982
QJOB-0512-0228-502b-df8c06f011a9_0,952352,952367,982
QJOB-0512-0228-4876-e10947ec1c55_0,952346,952367,982
QJOB-0512-0228-4a7f-5adae3bab34e_0,952347,952367,982
QJOB-0512-0228-5413-de736c18560a_0,952356,952370,982
QJOB-0512-0228-55fb-0932f17cdfa4_0,952356,952370,982
QJOB-0512-0228-51ef-d0127efba3b2_0,952355,952370,982
QJOB-0512-0228-59ea-12066c7f14a3_0,952364,952376,982
QJOB-0512-0228-5bc5-c477fe3bd622_0,952365,952376,982
QJOB-0512-0228-57f2-049c8c63d649_0,952360,952379,982
QJOB-0512-0228-6415-96ea1fb0b6f5_0,952368,952383,982
QJOB-0512-0228-602b-2c7e557c6835_0,952367,952383,982
QJOB-0512-0228-621a-32aee76a358d_0,952368,952386,982
QJOB-0512-0228-6607-378d8a86062d_0,952370,952386,982
QJOB-0512-0228-5e0f-8d2c7495a996_0,952366,952386,982
QJOB-0512-0228-685d-e79b7613066a_0,952375,952389,982
QJOB-0512-0228-6a39-a2a9e528f967_0,952376,952389,982
QJOB-0512-0228-6e0f-e3c396a0a4d9_0,952380,952395,982
QJOB-0512-0228-6c0a-99049c0341a7_0,952378,952395,982
QJOB-0512-0228-7048-2ce4179913ea_0,952381,952398,982
QJOB-0512-0228-7291-c1c9400e8dc9_0,952383,952398,982
QJOB-0512-0228-748d-e5b02ab51212_0,952384,952401,982
QJOB-0512-0228-76a7-a2dd7bd29a48_0,952384,952404,982
QJOB-0512-0228-78b5-544500f57e59_0,952387,952404,982
QJOB-0512-0228-7ad1-426f63381421_0,952388,952404,982
QJOB-0512-0228-82a6-4f15e73081aa_0,952392,952407,982
QJOB-0512-0228-7ce5-e6ac607b452d_0,952392,952410,982
QJOB-0512-0228-8492-c1ea00eef61b_0,952395,952410,982
QJOB-0512-0228-86a6-4e95c1a41af0_0,952396,952413,982
QJOB-0512-0228-88cc-c55015ab5ca3_0,952399,952413,982
QJOB-0512-0228-8ace-5dd06bfcc666_0,952400,952413,982
QJOB-0512-0228-8cfb-9665372e4eaf_0,952402,952416,982
QJOB-0512-0228-8edb-c08b924a14c1_0,952403,952416,982
QJOB-0512-0228-9102-b30e6478048f_0,952406,952422,982
QJOB-0512-0228-92df-0618eea2716c_0,952407,952422,982
QJOB-0512-0234-1755-cc268613bdea_0,952447,952621,-1
QJOB-0512-0242-bd3a-3b9b4dd65e5b_0,952968,953038,-1
QJOB-0512-0244-3222-cf574672a82e_115,953053,953153,-1
QJOB-0512-0315-b144-b2e65be05a77_1,954945,955022,982
QJOB-0512-0318-dfb7-271fa5359e1c_0,955138,955212,985
QJOB-0512-0318-cd29-450ae7923764_0,955133,955213,982
QJOB-0512-0318-d6ae-0e130fc37395_0,955136,955213,969
QJOB-0512-0318-d5a3-d14e81a8d0e3_0,955136,955213,959
QJOB-0512-0318-e210-f6d325194f78_0,955138,955213,973
QJOB-0512-0318-dbd9-bff440d51fe1_0,955138,955214,970
QJOB-0512-0322-1448-566c5ae89251_115,955325,955409,-1
QJOB-0512-0322-1448-566c5ae89251_118,955325,955422,969
QJOB-0512-0322-1448-566c5ae89251_117,955325,955422,959
QJOB-0512-0322-1448-566c5ae89251_116,955325,955428,982
QJOB-0512-0322-1448-566c5ae89251_119,955325,955428,970
QJOB-0512-0322-1448-566c5ae89251_120,955325,955428,985
QJOB-0512-0325-4e00-c584fbfd091b_0,955520,955521,-1
QJOB-0512-0325-9b4f-1f0feb09d28e_0,955617,955619,982
QJOB-0512-0330-1367-2d0d7f38cc15_0,955892,955899,-1
QJOB-0512-0332-4b64-21effbd3ec10_0,956012,956034,-1
QJOB-0512-0332-4b64-21effbd3ec10_3,956012,956035,-1
QJOB-0512-0334-1e75-4d2ce380ad7b_0,956048,956122,982
QJOB-0512-0334-3b7c-cc06bf6e01fd_0,956056,956132,969
QJOB-0512-0338-93af-56e3bc57eada_0,956318,956473,-1
QJOB-0512-0341-d598-923b96b503ad_0,956700,956746,982
QJOB-0512-0341-ce02-8e063dc10550_0,956699,956746,982
QJOB-0512-0341-d09c-9bdf2f951b44_0,956700,956746,982
QJOB-0512-0341-daa7-4aedf531e859_0,956701,956746,982
QJOB-0512-0341-d32d-f6e5ff2ffaca_0,956700,956749,982
