,data,job_scaling,data_scaling,transfer_size_worst,transfer_time_worst,transfer_size_opt,transfer_time_opt,transfer_size_improvement,transfer_time_improvement
70,data/1w_10-05-2019,10,256,2098218635601408,55602100.968929335,2023668544663040,166721296.02503046,3.5530182447836216,-199.84711570196774
71,data/1w_10-05-2019,10,512,4223780130658304,110607892.30107589,4079509058488832,334587866.1129966,3.4156861320095846,-202.49908858424385
72,data/1w_17-05-2019,5,64,252100007899328,5540023.98886325,247242513263680,23139267.48720258,1.926812567807519,-317.67449985267115
73,data/1w_17-05-2019,5,128,474123712896640,9742704.635035994,461493463318144,44173344.65727261,2.6639143402746073,-353.3991977794307
74,data/1w_17-05-2019,5,256,971617986334464,19984031.833938695,953447649519616,89704332.80467963,1.8701112032103893,-348.88005358526107
75,data/1w_17-05-2019,5,512,1915883953108480,40016393.44332536,1879071171652608,179711411.70550582,1.9214515261294434,-349.0944741435244
76,data/1w_17-05-2019,6,64,287604784711616,6154756.933421984,281191199222464,26519492.646466278,2.229999579312619,-330.8779848389837
77,data/1w_17-05-2019,6,128,577726724343296,11943053.135785632,565987408571520,52461004.86762861,2.031984202413368,-339.25957852801304
78,data/1w_17-05-2019,6,256,1157245035301632,23415850.999415096,1136032474215936,104873787.0098126,1.8330224316034347,-347.87518938531093
79,data/1w_17-05-2019,6,512,2268023829240832,47559736.04742654,2217154746326016,201448316.98039734,2.2428813250980366,-323.5690391122298
80,data/1w_17-05-2019,7,64,331728276782464,7252375.491199427,324857885085760,29826594.348175004,2.0710901594950153,-311.2665482415909
81,data/1w_17-05-2019,7,128,680131288430464,14920603.236796312,663364065933824,58449332.00163568,2.465292037267341,-291.73571653920385
82,data/1w_17-05-2019,7,256,1313671447435520,26925343.224122148,1286423189537536,114716301.62108798,2.074206450263999,-326.0532564662529
83,data/1w_17-05-2019,7,512,2660664399419392,56684555.209885076,2609079748552192,236981763.42717427,1.93878832965393,-318.0711351614304
84,data/1w_17-05-2019,8,64,372241397961600,8118998.760462388,361926546679040,31886576.541034665,2.771011321965879,-292.74025630247394
85,data/1w_17-05-2019,8,128,730263585784320,15541518.277068822,712191584895488,62764568.68601777,2.474722996001814,-303.85094665188245
86,data/1w_17-05-2019,8,256,1500187305880576,30623621.303133182,1462598904697856,127678533.87056808,2.505580538868542,-316.9282679103172
87,data/1w_17-05-2019,8,512,2968260380529664,61338493.826023474,2884352961958400,250702089.17559642,2.826821363841785,-308.71901727269596
88,data/1w_17-05-2019,9,64,403667402107776,8708793.01562383,391919910011136,34052070.380922765,2.910190923344242,-291.0079194652158
89,data/1w_17-05-2019,9,128,809202226476800,17281387.761703342,788184489013888,68694912.6486138,2.5973405380286088,-297.5080797668698
90,data/1w_17-05-2019,9,256,1628652406938112,33738827.96532598,1585140978527232,136729574.74729833,2.671621533577079,-305.2588160081253
91,data/1w_17-05-2019,9,512,3261669938768384,68650848.99784847,3150168884123648,272786790.8537924,3.41852660563316,-297.35384898494357
92,data/1w_17-05-2019,10,64,451129119695744,9888849.386535123,433667966900800,37498572.89612001,3.870544381333744,-279.2005665207006
93,data/1w_17-05-2019,10,128,891277449077888,18877152.479011875,865265879310464,73099931.69557096,2.9184593186258065,-287.2402459896715
94,data/1w_17-05-2019,10,256,1820246543436544,38083232.017117485,1764749970567424,147773466.7223609,3.048849237990858,-288.02764076310626
95,data/1w_17-05-2019,10,512,3626187493194752,76326778.96238957,3519430676214784,295191327.98262,2.944051215782912,-286.7467381639111
96,data/2w_01-05-2019,5,64,603621771528832,22821884.693946,584592099954496,46956344.477112554,3.1525820425824462,-105.75138778774367
97,data/2w_01-05-2019,5,128,1203490878934272,45321381.04954909,1163436314631680,91976626.77970225,3.3281984104492377,-102.94312452470453
98,data/2w_01-05-2019,5,256,2434758263133184,91378220.0836644,2339134557009664,183551727.6494995,3.9274414865509493,-100.87032498711677
