,data,job_scaling,data_scaling,transfer_size_worst,transfer_time_worst,transfer_size_opt,transfer_time_opt,transfer_size_improvement,transfer_time_improvement
48,data/1w_10-05-2019,5,64,298055361165632,7589595.961720229,291305514594048,7430447.642421364,2.2646284721022183,2.0969274267242195
49,data/1w_10-05-2019,5,128,582829361268352,14875726.047969049,565631364640128,14554345.837277016,2.950777323708908,2.16043378088366
50,data/1w_10-05-2019,5,256,1140953092027648,29736977.33237733,1109383375542528,28086437.764270637,2.7669600709890525,5.550461802684973
51,data/1w_10-05-2019,5,512,2326652074459648,58860355.46369134,2265843018499584,57196271.81968579,2.6135861320901004,2.827172263735411
52,data/1w_10-05-2019,6,64,337943169916096,8764474.252820184,328915616672320,8414860.48722209,2.671322887223123,3.9889873084583174
53,data/1w_10-05-2019,6,128,696462386823040,18178310.361727323,677932903098880,17280365.592244565,2.660514634348523,4.939649239201537
54,data/1w_10-05-2019,6,256,1389371371598848,35625913.724760704,1355450604059904,34518025.62661478,2.4414471344626145,3.1097815671627833
55,data/1w_10-05-2019,6,512,2779374932769792,69330685.60204193,2718911631689216,68823865.48988886,2.1754280204405947,0.7310184628235399
56,data/1w_10-05-2019,7,64,387603822743552,10311421.070836535,377848253351424,9705265.010979736,2.5168919447377376,5.87849197208298
57,data/1w_10-05-2019,7,128,788456764419840,20600266.981900766,762618731699456,19364217.779693782,3.2770386261313984,6.000161081858635
58,data/1w_10-05-2019,7,256,1553104539159296,40535079.24726043,1512462116277504,38151684.81622271,2.616850434536233,5.879831679862322
59,data/1w_10-05-2019,7,512,3145014793261056,82151517.79726708,3064788656683008,77147061.84404571,2.5508985442596845,6.091738883718894
60,data/1w_10-05-2019,8,64,443864439662976,11978674.066107797,431851255301568,10961577.154060163,2.706498490964843,8.490897293260412
61,data/1w_10-05-2019,8,128,889651069304192,23599833.589315027,862482714663424,21797879.144875683,3.0538213888751615,7.635454028180903
62,data/1w_10-05-2019,8,256,1713414066366464,45031062.98764348,1666684199568128,42201461.846306376,2.727295620808884,6.283664993903311
63,data/1w_10-05-2019,8,512,3514493895788032,89353182.92075688,3409827664088576,85838141.55439565,2.978130985656112,3.933873703725311
64,data/1w_10-05-2019,9,64,486226199427392,13079887.42659004,472659479156352,12049273.92859011,2.7902075797266686,7.879375902768103
65,data/1w_10-05-2019,9,128,980734687365632,25815307.43944448,951132886523392,24109709.152032353,3.0183291387147624,6.606926109297687
66,data/1w_10-05-2019,9,256,1932337120741120,51374349.80835916,1876054029920768,47279361.7881639,2.912695213284804,7.970880479209416
67,data/1w_10-05-2019,9,512,3868930151221248,101908370.41290666,3742020489352192,94530043.67275076,3.28022623590132,7.2401577125223495
68,data/1w_10-05-2019,10,64,521958464363072,14180080.912239794,505866166943360,12845121.770465994,3.0830609173756534,9.4143266885135
