,Unnamed: 0,data,job_scaling,data_scaling,transfer_size_worst,transfer_time_worst,transfer_size_opt,transfer_time_opt,transfer_size_improvement,transfer_time_improvement
26,26,data/3d_09-05-2019,7,64,266985501645568,10232373.176726066,260698891190848,6686173.396978563,2.3546636113093817,34.65666975295109
27,27,data/3d_09-05-2019,7,128,543058612904448,20628681.031261347,533706184415616,13682129.005409045,1.722176624510617,33.67424226166123
28,28,data/3d_09-05-2019,7,256,1048095754355968,40447106.13470137,1026827761543936,26010199.622657906,2.0292032215225144,35.693298956825494
29,29,data/3d_09-05-2019,7,512,2098654472144896,78523837.42494503,2053727421569536,52153026.18470328,2.1407550014387566,33.583192193641324
30,30,data/3d_09-05-2019,8,32,152243563500032,6121868.617608796,149360877894240,3899783.6564316913,1.893469608514119,36.29749509464403
31,31,data/3d_09-05-2019,8,64,304449420687104,11874421.901376765,298430265294784,7695913.089203602,1.9770625211687132,35.18915570692912
32,32,data/3d_09-05-2019,8,128,619268560039936,23813805.73799159,604685646275328,15303240.938220995,2.35486099337379,35.73794501142328
33,33,data/3d_09-05-2019,8,256,1228895750386688,47765870.79247267,1195543094266624,30237318.71791665,2.714034620883761,36.69681256458599
34,34,data/3d_09-05-2019,8,512,2467092853164032,94144700.92659722,2419035485894144,60730021.83203194,1.9479350851450408,35.49289419976813
35,35,data/3d_09-05-2019,9,32,166110461273024,6442770.737657919,162070181035456,4212348.2345342785,2.432285243568903,34.61899536618379
36,36,data/3d_09-05-2019,9,64,336210198190656,12988885.27877442,328496314517696,8468407.463117851,2.2943633817394375,34.802661803808796
37,37,data/3d_09-05-2019,9,128,680689161533696,26354309.628638644,662010035489536,16742997.616690032,2.7441491799389155,36.46960268503567
38,38,data/3d_09-05-2019,9,256,1344726260596224,50844489.19198962,1315034803553792,33362490.39423951,2.207992653409432,34.383271570961796
39,39,data/3d_09-05-2019,9,512,2694971898351616,102140645.24328429,2628991337091584,66266351.12201421,2.448283831842147,35.12244712750999
40,40,data/3d_09-05-2019,10,32,185485096805280,7321546.048466283,180870854924032,4701314.927667256,2.4876617910127705,35.78794838486213
41,41,data/3d_09-05-2019,10,64,363792475649088,13996182.988885118,353868675517568,9094776.87298654,2.7278739379679853,35.01959155428994
42,42,data/3d_09-05-2019,10,128,733170417349632,27983681.819407593,706940219143936,17902402.437902194,3.5776400117883407,36.02556463643646
43,43,data/3d_09-05-2019,10,256,1466401848295424,56963067.8543042,1423404550877440,36026917.42369843,2.9321633403534615,36.753902518303015
44,44,data/3d_09-05-2019,10,512,2966779429893120,112022628.16217372,2865175189504000,72426305.86326613,3.424731861268849,35.34671784488444
45,45,data/1w_03-05-2019,2,32,85358274462656,3745378.8761739233,84116724830208,2190704.264478589,1.4545158512912235,41.509141347096666
46,46,data/1w_03-05-2019,2,64,176408970488384,7298542.304454327,170735500277440,4450588.289364022,3.2160894059055694,39.02086055392442
47,47,data/1w_03-05-2019,2,128,355702061801984,15238435.695586678,349940701304320,8780555.788283201,1.6197152382184659,42.37889004035889
48,48,data/1w_03-05-2019,2,256,680344678381056,29288005.36865562,666053993058816,16900787.624963894,2.100506666157223,42.29450789758689
49,49,data/1w_03-05-2019,2,512,1398234260299776,59075125.35367458,1375579906029056,35024043.27777177,1.6202116422081514,40.71270595180682
50,50,data/1w_03-05-2019,3,32,126757169558784,5454802.246026551,124346425782080,3232342.415337612,1.9018598988091246,40.743178770740016
51,51,data/1w_03-05-2019,3,64,250481916780032,10767127.57272591,245129946876160,6342847.983427762,2.1366691746342665,41.09062105389409
52,52,data/1w_03-05-2019,3,128,514922039710720,21877223.34770641,504009535582208,12792452.82678228,2.1192536514153826,41.52615885725082
53,53,data/1w_03-05-2019,3,256,996744177057280,42279058.19953431,977857010936832,24934792.912625004,1.894886025440268,41.02330095683245
54,54,data/1w_03-05-2019,3,512,1991075478196736,83208597.12243041,1947727134049792,49206360.61359866,2.1771321389686062,40.863850232689266
55,55,data/1w_03-05-2019,4,32,164699352461312,7153596.799854416,160478320310848,4149571.224624084,2.5628711269253617,41.99321906556808
56,56,data/1w_03-05-2019,4,64,329701813352064,14114800.687266154,322558065965568,8299222.142484455,2.166729783456703,41.201988420766696
57,57,data/1w_03-05-2019,4,128,665140867673984,28071562.85063745,651143033581952,16382832.269965973,2.1044916606887822,41.63904461915646
58,58,data/1w_03-05-2019,4,256,1366059418394624,58488129.33274755,1338407164058624,33604452.66716766,2.0242351074667444,42.54483251466806
59,59,data/1w_03-05-2019,4,512,2643769676709888,112300367.49117084,2572211809598976,64643137.19438138,2.7066604077237226,42.43728792831983
60,60,data/1w_03-05-2019,5,32,197994228856000,8842912.89564358,192521171729504,5027353.05022294,2.764250836056702,43.148223786082504
61,61,data/1w_03-05-2019,5,64,407464831762176,17961046.660753787,396392271966976,10112829.303154642,2.7174271083259263,43.69576843619075
62,62,data/1w_03-05-2019,5,128,790072033621760,33794719.05255684,771227677284992,19564067.41764228,2.3851440798864636,42.1090987996774
63,63,data/1w_03-05-2019,5,256,1584921203350784,67726219.43243219,1539378948505088,38932808.58706371,2.873471233106869,42.51442216421743
64,64,data/1w_03-05-2019,5,512,3163462455772672,133987000.05847032,3054229875829760,76674410.13466449,3.452943775058398,42.774739264850545
65,65,data/1w_03-05-2019,6,32,234788255924704,10347098.417484136,227945361678080,5876397.297669636,2.9144959655982534,43.20729289923519
66,66,data/1w_03-05-2019,6,64,465670721860672,19880080.3515178,452092124528064,11517258.43726344,2.915922495267095,42.06633859815299
67,67,data/1w_03-05-2019,6,128,927525181531008,39545056.28283218,902838669277952,22765738.39423893,2.661546311045433,42.430886350458195
68,68,data/1w_03-05-2019,6,256,1864509534875136,79526421.82130913,1808522637997824,45416893.46903012,3.0027680647426336,42.890812350291554
69,69,data/1w_03-05-2019,6,512,3693013077998592,159273859.2630113,3577866990895616,89261099.67878275,3.1179442008740135,43.95747042747011
70,70,data/1w_03-05-2019,7,32,269722844515968,11714082.986331966,261281678926784,6782438.332334309,3.1295701349776732,42.100134169716206
71,71,data/1w_03-05-2019,7,64,540084537074112,23068321.12898484,520357038658880,13278230.146001535,3.6526686214911823,42.4395469797855
72,72,data/1w_03-05-2019,7,128,1064279630529280,45555530.03146842,1032916514243584,26034595.42903068,2.946886831809298,42.85085606281664
73,73,data/1w_03-05-2019,7,256,2135448999204608,91202428.70725146,2065267403196928,51971787.05267246,3.286503027411124,43.014908934612386
74,74,data/1w_03-05-2019,7,512,4306295399490560,183629996.6238601,4145371079176704,103946261.78147891,3.73695497835317,43.393637372657565
75,75,data/1w_03-05-2019,8,32,303930781540192,13258534.220110254,294335903185952,7614872.082605678,3.156928793331572,42.56625991841838
76,76,data/1w_03-05-2019,8,64,595057282390976,25826794.57910746,572655445823360,14544124.272758406,3.7646521151046284,43.685910273496155
77,77,data/1w_03-05-2019,8,128,1194630379867392,51242106.29069637,1154175952030464,29309211.567124195,3.3863551872352833,42.80248473617947
78,78,data/1w_03-05-2019,8,256,2412926046756864,103469511.93998149,2332011009455616,58711865.75558174,3.3533989742455343,43.256844789566486
79,79,data/1w_03-05-2019,8,512,4793525843949056,204138411.39471948,4638051308745216,115226780.82897677,3.243427495026401,43.55458140301891
80,80,data/1w_03-05-2019,9,32,330980259906016,14689531.217095142,318735825654816,8223211.509850153,3.6994454758954163,44.01991875492747
81,81,data/1w_03-05-2019,9,64,667397823397376,28979045.194352437,642840684197568,16283228.85727932,3.6795354043560327,43.81033347346907
82,82,data/1w_03-05-2019,9,128,1331816798335872,56697492.69475945,1285338853381120,32373302.693882033,3.4898151917611333,42.90170313497074
83,83,data/1w_03-05-2019,9,256,2705230376667904,116983190.70588408,2608334719284992,65370138.66262413,3.581789492629484,44.12005838772518
84,84,data/1w_03-05-2019,9,512,5276453132855808,224602589.16281444,5077826236953088,126593963.8142309,3.7644017847120708,43.63646283593688
85,85,data/1w_03-05-2019,10,32,363924408123232,16125735.160210025,350227875570176,9060399.33361322,3.7635652479836095,43.81403859360408
86,86,data/1w_03-05-2019,10,64,726089064411648,31258881.98501945,698238909894208,17667967.904047538,3.835638888186129,43.478567427604226
